id,label
0,21
1,10
2,9
3,22
4,0
5,19
6,16
7,4
8,2
9,27
10,23
11,16
12,8
13,7
14,6
15,5
16,1
17,14
18,11
19,21
20,26
21,21
22,16
23,15
24,24
25,24
26,26
27,5
28,16
29,0
30,2
31,19
32,9
33,26
34,4
35,18
36,8
37,10
38,14
39,1
40,14
41,7
42,8
43,25
44,20
45,9
46,21
47,18
48,15
49,13
50,22
51,10
52,4
53,22
54,17
55,22
56,18
57,0
58,3
59,18
60,27
61,7
62,24
63,21
64,4
65,27
66,12
67,0
68,1
69,7
70,18
71,26
72,7
73,17
74,21
75,9
76,25
77,4
78,18
79,20
80,25
81,27
82,2
83,14
84,21
85,9
86,23
87,21
88,13
89,18
90,2
91,4
92,9
93,3
94,9
95,2
96,5
97,18
98,27
99,16
100,25
101,18
102,18
103,8
104,2
105,18
106,5
107,27
108,15
109,17
110,9
111,21
112,0
113,27
114,18
115,14
116,5
117,4
118,5
119,14
120,21
121,28
122,21
123,20
124,17
125,4
126,18
127,7
128,3
129,27
130,24
131,9
132,20
133,5
134,0
135,20
136,20
137,9
138,21
139,17
140,8
141,0
142,20
143,5
144,26
145,2
146,22
147,15
148,21
149,20
150,9
151,23
152,9
153,6
154,11
155,22
156,26
157,3
158,22
159,24
160,0
161,21
162,25
163,7
164,15
165,27
166,20
167,0
168,11
169,26
170,12
171,9
172,16
173,5
174,15
175,5
176,21
177,2
178,27
179,22
180,16
181,11
182,5
183,9
184,1
185,27
186,24
187,0
188,27
189,5
190,17
191,13
192,22
193,25
194,19
195,26
196,8
197,18
198,20
199,0
200,6
201,16
202,16
203,27
204,22
205,16
206,13
207,23
208,22
209,21
210,21
211,10
212,20
213,21
214,26
215,7
216,17
217,15
218,26
219,3
220,1
221,18
222,6
223,12
224,21
225,18
226,26
227,18
228,14
229,27
230,16
231,16
232,18
233,17
234,5
235,14
236,7
237,28
238,4
239,18
240,7
241,22
242,20
243,26
244,27
245,10
246,14
247,3
248,4
249,9
250,9
251,1
252,3
253,13
254,1
255,18
256,5
257,1
258,8
259,15
260,15
261,18
262,24
263,11
264,13
265,18
266,13
267,14
268,10
269,7
270,19
271,21
272,23
273,9
274,25
275,18
276,27
277,22
278,19
279,19
280,14
281,5
282,9
283,0
284,24
285,13
286,22
287,3
288,7
289,5
290,5
291,23
292,9
293,17
294,5
295,5
296,0
297,12
298,5
299,27
300,9
301,15
302,26
303,12
304,24
305,9
306,9
307,6
308,25
309,5
310,10
311,0
312,19
313,20
314,20
315,21
316,14
317,23
318,16
319,21
320,14
321,20
322,2
323,24
324,7
325,26
326,15
327,26
328,5
329,26
330,3
331,10
332,22
333,26
334,8
335,2
336,15
337,7
338,4
339,28
340,17
341,15
342,9
343,0
344,17
345,16
346,8
347,11
348,26
349,20
350,17
351,5
352,18
353,22
354,7
355,9
356,0
357,17
358,17
359,14
360,19
361,10
362,22
363,21
364,25
365,7
366,5
367,18
368,16
369,23
370,3
371,14
372,5
373,18
374,5
375,27
376,25
377,14
378,26
379,0
380,20
381,5
382,9
383,24
384,9
385,9
386,5
387,26
388,10
389,12
390,21
391,23
392,23
393,27
394,9
395,14
396,4
397,9
398,16
399,10
400,5
401,25
402,18
403,10
404,16
405,25
406,1
407,17
408,5
409,21
410,22
411,24
412,5
413,2
414,2
415,23
416,19
417,16
418,9
419,25
420,13
421,24
422,22
423,15
424,10
425,15
426,26
427,27
428,2
429,16
430,13
431,9
432,23
433,10
434,20
435,16
436,9
437,9
438,19
439,3
440,14
441,14
442,18
443,1
444,20
445,15
446,9
447,17
448,22
449,17
450,22
451,4
452,16
453,9
454,4
455,14
456,27
457,22
458,13
459,21
460,7
461,5
462,5
463,5
464,21
465,2
466,16
467,18
468,27
469,15
470,27
471,27
472,6
473,12
474,26
475,5
476,14
477,27
478,9
479,15
480,9
481,7
482,5
483,24
484,27
485,0
486,0
487,12
488,12
489,2
490,22
491,16
492,9
493,21
494,7
495,16
496,5
497,7
498,21
499,17
500,24
501,14
502,16
503,8
504,0
505,15
506,9
507,24
508,13
509,4
510,16
511,22
512,3
513,10
514,24
515,14
516,17
517,9
518,10
519,14
520,24
521,18
522,18
523,23
524,13
525,14
526,20
527,1
528,17
529,24
530,8
531,1
532,6
533,20
534,26
535,5
536,17
537,27
538,2
539,14
540,5
541,20
542,27
543,15
544,24
545,17
546,22
547,9
548,22
549,5
550,27
551,20
552,1
553,27
554,5
555,20
556,11
557,14
558,7
559,16
560,5
561,27
562,21
563,22
564,20
565,23
566,0
567,0
568,3
569,24
570,25
571,9
572,18
573,24
574,23
575,22
576,22
577,15
578,6
579,16
580,4
581,13
582,16
583,5
584,17
585,26
586,9
587,18
588,5
589,21
590,9
591,22
592,1
593,4
594,3
595,27
596,20
597,18
598,20
599,3
600,5
601,24
602,9
603,0
604,4
605,23
606,15
607,27
608,0
609,23
610,18
611,25
612,24
613,24
614,13
615,12
616,0
617,25
618,19
619,18
620,18
621,24
622,10
623,27
624,9
625,18
626,1
627,2
628,28
629,18
630,27
631,14
632,7
633,15
634,5
635,1
636,20
637,2
638,23
639,24
640,27
641,17
642,9
643,27
644,21
645,3
646,19
647,11
648,27
649,7
650,2
651,13
652,1
653,10
654,18
655,1
656,22
657,0
658,13
659,20
660,5
661,5
662,23
663,21
664,4
665,0
666,28
667,5
668,5
669,10
670,0
671,16
672,13
673,15
674,7
675,5
676,26
677,24
678,21
679,10
680,26
681,18
682,20
683,21
684,20
685,24
686,8
687,16
688,22
689,0
690,13
691,14
692,2
693,12
694,16
695,16
696,15
697,0
