406,53,2655,13273,5433,2370,1295,784,579,408,367,438,559,671,758,678,685,725,817,808,1075,1350,1634,1986,2476,2780,2697,2834,2496,2244,1656,8546,280,156,83,63,68,91,376,773,2364,14315,7393,1625,726,693,785,752,680,805,846,1038,1451,1868,2361,2945,3359,3164,2972,2523,1703,1325,1617,6336,135,37,143,122,110,155,63,89,233,497,740,1062,1303,1619,1952,1683,3547,10101,5342,2664,1041,871,1172,1580,1919,2442,3126,3376,3472,2920,2611,9409,1,0,0,0
276,53,142,434,1656,4632,3482,1873,885,768,754,918,793,674,680,681,568,555,533,534,530,491,539,524,550,519,646,776,1082,1750,4075,33163,284,83,176,305,445,614,870,828,676,665,795,4543,3334,2542,942,781,567,622,592,586,581,564,532,552,586,552,598,697,933,1303,2741,35647,246,31,51,117,244,338,473,623,860,848,676,621,438,400,375,373,340,429,664,863,1726,3025,2928,1983,1804,900,665,670,760,989,1955,39121,1,0,0,0
250,754,1377,3625,2353,1837,1772,699,526,539,1446,3770,2308,2631,4679,5981,4814,3233,2090,1209,1006,1133,1561,1966,2545,2995,3206,3026,1697,456,51,1,0,0,59,348,1633,1085,1930,2836,1505,1260,1306,1177,633,1112,1897,3630,4513,4497,5067,4618,3265,2285,1622,1174,1322,1870,2389,2652,2843,2899,2843,1266,18,284,378,338,295,340,739,1426,407,434,2230,1967,878,1345,1657,2682,3340,4377,6367,6839,4753,3167,2328,1722,2085,2668,3154,3112,3093,2311,650,152,1,0,0,0
251,1282,3818,4102,4349,2401,2000,1409,689,706,1816,2767,3180,2823,1460,905,949,1093,1115,1233,1448,1932,2774,4466,5038,4542,2926,1725,1020,971,336,10,0,2,38,771,2158,2211,1535,1311,2973,3345,2894,1392,1432,778,1210,2441,4984,2786,809,730,910,1011,1127,1303,1584,2014,2747,4306,5631,6282,4439,382,0,2,20,79,229,1356,2306,1950,1176,866,629,542,1035,2064,2192,2874,1352,965,1549,1919,3050,5348,2275,1110,1279,1696,2251,3378,5597,8877,6251,1319,1,0,0,0
41,1411,1770,1842,1891,2715,5361,2743,1170,788,979,1022,3488,1814,1038,582,391,401,415,613,1080,1519,2364,5533,10350,10697,3206,212,99,1,0,0,0,0,9,42,56,89,1652,2853,1975,3899,5507,2159,1065,879,1038,2177,3111,932,891,417,312,338,316,378,596,1212,1377,1887,3739,7323,18820,487,0,0,0,0,23,41,62,89,149,204,320,2349,5659,4995,3095,1861,1302,1178,2444,2849,754,935,596,472,430,678,1483,2249,5396,15939,9888,96,1,0,0,0
15724,2685,2489,1966,1699,1603,1332,1086,987,1014,1098,1038,1093,740,579,537,601,1052,1237,1366,1961,6205,4753,4140,3748,1969,2116,619,56,23,10,10,6325,5596,2680,2054,2092,2141,1732,1563,1703,1541,1450,1237,1198,1207,1099,902,778,603,807,819,833,1161,2913,4328,6140,5133,2772,1885,1762,969,65,48,1669,5456,3625,2939,2178,2008,2138,1889,1711,1731,1692,1574,1376,1194,1098,1040,987,857,880,924,835,788,893,1401,2034,3921,9729,5549,2268,1085,55,12,1,0,0,0
19,65,96,165,273,538,738,820,2049,6692,7151,8004,4859,2150,1565,1465,1463,1435,1427,1219,1062,1151,1423,1676,2376,3337,3596,3612,2361,1791,695,263,17,97,116,179,392,649,787,873,1444,3966,8483,10539,5643,2047,1608,1572,1547,1444,1213,1122,1389,1652,2154,3272,3875,3703,2357,1818,1079,344,105,50,247,359,604,699,633,738,1099,1499,1643,1956,2438,10512,12598,2578,1320,1266,1375,1456,1460,2212,3426,5608,5140,2946,1177,342,133,51,18,3,0,0,1,0,0,0
7840,11873,9335,2584,1912,2320,1405,659,439,305,1191,3094,3631,3908,4256,4173,3781,704,429,290,244,249,221,161,91,90,64,74,105,45,29,34,243,9054,14879,2938,1305,1213,1300,2130,2593,1566,733,500,289,252,351,569,415,2432,3311,3938,4650,4153,3020,2029,440,270,206,165,140,73,94,285,235,3041,7602,2298,3053,2912,2148,2498,3138,2779,2979,2972,1610,829,525,329,337,439,443,380,286,265,172,161,1324,2400,2806,4501,4688,4381,3247,758,1,0,0,0
6320,6448,4443,3774,3830,3486,2994,2680,3105,3939,5137,6850,5566,3234,1512,647,305,196,159,109,79,51,77,52,44,36,41,43,39,45,55,240,57,1422,1849,1721,1979,2688,4254,4621,5222,4666,3376,2560,1851,1738,2007,2420,2705,2504,2933,4232,3390,3011,1933,998,495,196,120,92,60,55,49,332,1584,1727,1640,1891,2312,2999,3211,3782,4510,4134,3614,2370,1965,1313,921,729,718,802,931,1299,1521,1406,1006,1223,1848,2313,2804,3278,3348,3369,711,257,1,0,0,0
1485,1279,1579,1994,2362,4966,5486,6173,6854,8407,5931,3084,1881,1312,1158,1015,973,978,956,870,766,647,569,578,549,484,459,530,573,729,634,275,291,139,200,366,759,1079,1439,1861,2120,3187,6119,5144,4781,6162,8916,6465,2673,1542,1208,1051,1030,1020,945,880,747,675,598,578,582,588,653,1738,52,188,49,94,201,91,97,79,337,800,1029,1323,1794,2090,2859,4216,6274,5100,5716,5966,5973,3881,3736,3730,2316,1283,1028,848,780,790,817,1999,1,0,0,0
21815,1203,442,205,136,152,254,437,597,934,1323,2016,3109,4491,5754,5995,5608,4071,1706,636,562,605,585,890,679,539,355,227,111,76,20,3,223,253,1362,12543,7482,1749,262,278,412,654,1011,1717,2690,4060,5629,6872,6516,4031,1463,549,353,343,356,375,372,434,473,538,769,902,527,338,3,6,49,185,47,291,179,579,1060,11407,8324,6128,3539,4525,5619,5911,5013,2984,1725,1124,678,440,333,327,336,326,351,374,416,442,702,2113,1,0,0,0
73,352,959,2428,4235,6174,12871,14558,3382,1245,920,1673,2630,1835,1276,1327,1692,2180,3749,1465,294,107,44,41,15,7,0,4,0,0,0,0,4,2,3,23,183,707,1703,3307,4853,6388,13314,12110,2610,1181,863,739,1335,2180,2081,1550,1241,1555,3622,2544,1051,224,87,45,15,6,5,5,0,0,0,4,1,2,1,56,256,761,1685,2586,3577,4082,5000,6677,11593,7006,2393,1109,808,755,825,882,1625,2424,1870,2083,3766,2890,570,249,1,0,0,0
481,1478,4881,8040,12055,10369,6345,3795,2210,1887,1552,1537,1474,1488,1576,1746,1374,1107,828,577,332,188,122,52,26,13,1,2,0,0,0,0,5,4,42,221,711,1538,4878,8155,7256,7195,9453,7259,2239,1623,1545,1303,1234,1311,1219,1227,1289,1324,1410,1050,793,542,335,193,104,51,23,4,0,2,2,4,38,128,415,797,1175,1522,2804,6180,6667,5413,5155,4382,3902,4326,5104,4131,1613,1235,1204,1106,1160,1230,1347,1498,1200,834,498,464,1,0,0,0
0,2,20,37,84,154,3432,18949,8368,2047,3011,5664,4224,2113,1495,1428,1257,1205,1246,1218,1227,1327,1413,1448,1248,884,736,574,361,269,94,1,0,0,0,9,27,74,103,146,205,315,4036,24526,5527,4631,5251,3039,1655,1485,1297,1260,1237,1221,1253,1397,1417,1388,1139,850,707,551,364,426,0,0,0,0,4,13,38,96,119,127,156,201,298,422,756,1329,5115,20354,14867,3310,2691,1621,1386,1314,1325,1372,1543,1675,1550,1213,968,1673,1,0,0,0
708,1005,2721,4429,9593,22778,7879,6096,2548,1047,588,446,425,448,443,379,379,350,340,315,278,293,285,228,179,172,165,128,171,227,318,175,71,244,174,175,555,1946,3756,4570,4751,8945,21425,9623,2476,842,533,495,413,433,373,371,377,315,289,282,276,249,210,183,169,161,166,688,1,16,75,160,154,200,263,363,655,1727,3227,4047,4190,3916,3828,5761,11216,12593,8391,776,477,423,365,332,332,305,263,197,187,222,261,613,1,0,0,0
160,406,616,731,729,2346,7817,6249,4755,3306,2031,1366,1027,888,819,870,915,1018,1120,1376,1564,2051,2401,2910,3532,3845,3511,2845,1991,1342,713,286,184,460,698,813,868,1203,1765,5401,8878,5684,3332,1505,917,742,638,781,848,936,1083,1264,1517,2023,2651,3259,4142,4468,3950,2767,1574,753,351,81,597,876,994,1093,802,479,402,582,1180,1276,1656,5151,9031,5365,2250,924,616,702,770,956,1046,1266,1448,2017,2793,3547,4727,4959,4193,2496,978,364,1,0,0,0
1090,11124,15786,4954,2781,2637,3062,3539,3928,3716,3264,2621,2217,1619,1126,717,372,204,133,141,105,123,99,69,41,31,19,13,5,0,0,0,9,174,33,216,2347,6641,4909,17368,7498,3576,3807,4047,3520,2989,2484,1958,1423,860,496,232,130,105,122,106,97,109,103,72,38,27,19,21,0,6,25,19,26,87,177,426,1557,5687,7289,4338,4317,5079,6645,18867,4215,2383,1619,980,494,248,143,104,98,117,118,102,103,91,56,120,1,0,0,0
25453,1969,906,630,640,884,1354,1987,3194,4431,4761,3952,2821,1785,1340,1064,965,978,862,898,916,967,881,686,485,314,201,115,59,24,8,6,20,89,238,12267,15584,1752,1384,2255,3443,4693,4562,3692,2591,1775,1286,1035,958,902,869,768,778,837,917,861,710,554,331,180,114,64,15,12,4,29,101,288,600,1132,2149,3645,4755,11140,24124,3271,1848,1366,1094,952,854,869,792,738,737,727,799,885,799,665,486,328,168,99,52,40,1,0,0,0
327,634,886,956,1271,1801,2305,6538,17153,9128,3461,3587,3258,2042,1374,1205,737,518,410,291,285,280,261,302,308,318,368,424,440,594,978,3096,0,0,0,1,12,79,396,828,978,1218,1587,2005,2310,2535,10559,14085,7139,2612,2861,2772,1793,1265,1144,846,662,536,491,470,625,802,1303,3622,0,0,0,0,0,6,62,339,820,1055,1222,1545,1825,2131,2430,2256,3144,11808,15981,3446,3280,2647,1695,1407,919,628,604,590,762,948,2359,1627,1,0,0,0
3,5,80,1951,10046,7086,4991,2715,2692,2653,2944,2739,2989,2784,2286,1909,1817,1614,1348,1167,1094,997,1113,1171,1226,1164,1234,1233,1035,810,492,148,0,1,1,3,10,33,70,175,412,1309,6753,11744,10770,3686,3009,3024,3489,2872,2227,1904,1558,1372,1254,1345,1356,1271,1265,1350,1192,937,654,490,0,1,0,1,4,10,18,53,87,179,415,693,987,1280,1490,1826,2883,6071,5941,3620,4077,6503,9309,4378,2203,1716,1510,1523,1556,1657,1680,3865,1,0,0,0
54,2352,4577,4724,5885,6693,6431,5108,4073,3483,3407,3110,3054,2084,1995,1514,1022,815,750,590,540,467,403,340,291,267,233,234,215,210,317,298,0,0,0,0,1,14,156,779,2182,4757,7621,10186,8145,5967,4998,3675,3669,3049,2259,1662,1065,853,676,591,489,432,343,316,304,239,227,881,0,0,0,0,0,0,0,0,4,15,57,260,778,1855,3510,4390,4324,4312,4438,4453,4726,4286,4805,6802,5069,3873,2209,1306,802,627,555,2080,1,0,0,0
1295,3704,1996,2283,2353,2262,2068,1884,1902,3348,6339,3716,3359,4064,2513,1724,1096,1183,1636,1522,4292,6254,2817,1266,447,127,52,18,10,5,1,0,14,2308,1297,921,1265,2175,2707,2609,2235,1929,1767,1851,4445,6216,1825,1998,2740,4097,2511,1754,1588,1304,1272,3253,5376,2498,1825,1091,529,105,23,8,6,63,1041,2159,1431,895,1010,2366,3048,2500,2097,1812,1743,1894,4826,5888,1375,1022,3203,4368,3306,2764,2212,5097,5038,2527,1322,448,53,14,5,3,1,0,0,0
1811,1986,2580,13800,7440,5433,4654,3459,2830,2351,2230,1718,1450,1282,1126,1059,897,874,824,869,876,878,926,878,778,642,493,398,353,257,236,148,79,195,336,519,1182,2312,2975,2959,14700,8354,5223,3614,2745,2264,2174,1604,1442,1135,1061,1008,897,881,913,911,961,951,956,782,689,497,380,837,0,0,5,15,84,254,448,658,1161,2243,3319,3027,3054,4210,5917,14857,6430,3216,2424,1750,1451,1193,1167,1139,1279,1347,1337,1155,687,499,427,783,1,0,0,0
1,25,94,210,1178,7213,14514,12587,1311,1417,2191,2006,1846,1792,1698,1483,1431,1329,1209,1320,1336,1451,1332,1318,1242,1115,1043,710,536,373,222,3,0,0,1,13,49,174,297,423,777,2875,8790,11397,14275,3783,1816,1471,1571,1421,1354,1253,1226,1222,1344,1341,1439,1356,1326,1223,1127,925,623,644,0,0,0,3,7,16,63,155,307,488,653,1230,1772,2348,2505,3831,5329,8075,6821,7298,9552,1674,1466,1554,1594,1708,1688,1509,1401,1063,689,737,1,0,0,0
